scenario,year,tariff_rate,import_value,revenue
baseline,2025,0.025,3200000000000,80000000000.0
baseline,2026,0.026,3200000000000,83200000000.0
baseline,2027,0.027,3200000000000,86400000000.0
baseline,2028,0.028,3200000000000,89600000000.0
baseline,2029,0.029,3200000000000,92800000000.0
reciprocal_aggressive,2025,0.1,3200000000000,320000000000.0
reciprocal_aggressive,2026,0.15,3200000000000,480000000000.0
reciprocal_aggressive,2027,0.2,3200000000000,640000000000.0
reciprocal_aggressive,2028,0.2,3200000000000,640000000000.0
reciprocal_aggressive,2029,0.2,3200000000000,640000000000.0
reciprocal_moderate,2025,0.05,3200000000000,160000000000.0
reciprocal_moderate,2026,0.075,3200000000000,240000000000.0
reciprocal_moderate,2027,0.1,3200000000000,320000000000.0
reciprocal_moderate,2028,0.1,3200000000000,320000000000.0
reciprocal_moderate,2029,0.1,3200000000000,320000000000.0
gradual_escalation,2025,0.03,3200000000000,96000000000.0
gradual_escalation,2026,0.05,3200000000000,160000000000.0
gradual_escalation,2027,0.08,3200000000000,256000000000.0
gradual_escalation,2028,0.12,3200000000000,384000000000.0
gradual_escalation,2029,0.15,3200000000000,480000000000.0
trade_war_china,2025,0.15,3200000000000,480000000000.0
trade_war_china,2026,0.25,3200000000000,800000000000.0
trade_war_china,2027,0.3,3200000000000,960000000000.0
trade_war_china,2028,0.25,3200000000000,800000000000.0
trade_war_china,2029,0.2,3200000000000,640000000000.0
selective_sectors,2025,0.04,3200000000000,128000000000.0
selective_sectors,2026,0.06,3200000000000,192000000000.0
selective_sectors,2027,0.08,3200000000000,256000000000.0
selective_sectors,2028,0.07,3200000000000,224000000000.00003
selective_sectors,2029,0.06,3200000000000,192000000000.0
de_escalation,2025,0.08,3200000000000,256000000000.0
de_escalation,2026,0.06,3200000000000,192000000000.0
de_escalation,2027,0.04,3200000000000,128000000000.0
de_escalation,2028,0.03,3200000000000,96000000000.0
de_escalation,2029,0.025,3200000000000,80000000000.0
